,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,5,24832,0.906277,347918,0.988238,3319,216,126.851852,0,0,0,2.268347,21.019624,0.008698,0.008698,24504,1.118185,0,0,0,11.726972,58.101855,0.982241,0.977791
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,500,24832,0.906277,347918,0.988238,3319,4661,5.878567,0,0,0,2.843515,21.594792,0.187661,0.187654,24761,1.106579,0,0,0,18.170342,64.545225,0.990979,0.984911
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,600,24832,0.906277,347918,0.988238,3319,5199,5.270244,0,0,0,2.844886,21.596163,0.209327,0.209318,24763,1.106490,0,0,0,18.694209,65.069092,0.991060,0.984991
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,700,24832,0.906277,347918,0.988238,3319,5741,4.772688,0,0,0,2.884677,21.635954,0.231153,0.231144,24764,1.106445,0,0,0,19.059319,65.434202,0.991100,0.985031
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,800,24832,0.906277,347918,0.988238,3319,6159,4.448774,0,0,0,2.926929,21.678206,0.247946,0.247926,24766,1.106355,0,0,0,19.417002,65.791885,0.991100,0.984952
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,900,24832,0.906277,347918,0.988238,3319,6575,4.167300,0,0,0,2.952632,21.703909,0.264659,0.264627,24769,1.106221,0,0,0,20.664860,67.039743,0.991140,0.984913
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1000,24832,0.906277,347918,0.988238,3319,6918,3.960682,0,0,0,2.995298,21.746575,0.278471,0.278438,24770,1.106177,0,0,0,20.071667,66.446550,0.991181,0.984953
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1100,24832,0.906277,347918,0.988238,3319,7244,3.782441,0,0,0,3.027940,21.779217,0.291600,0.291564,24771,1.106132,0,0,0,20.564321,66.939204,0.991221,0.984993
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1200,24832,0.906277,347918,0.988238,3319,7612,3.599580,0,0,0,3.073822,21.825099,0.306419,0.306382,24773,1.106043,0,0,0,20.727647,67.102530,0.991261,0.984994
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1300,24832,0.906277,347918,0.988238,3319,7933,3.453927,0,0,0,3.097640,21.848917,0.319306,0.319254,24779,1.105775,0,0,0,21.311619,67.686502,0.991302,0.984837
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1400,24832,0.906277,347918,0.988238,3319,8248,3.322017,0,0,0,3.133060,21.884337,0.331991,0.331938,24783,1.105597,0,0,0,22.149665,68.524548,0.991342,0.984759
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1500,24832,0.906277,347918,0.988238,3319,8528,3.212946,0,0,0,3.167943,21.919220,0.343267,0.343211,24788,1.105374,0,0,0,21.808847,68.183730,0.991463,0.984800
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,5,32111,0.933432,417050,0.991022,3391,236,145.766949,0,0,0,3.700603,26.097890,0.007350,0.007350,31452,1.093762,0,0,0,14.942584,72.324720,0.975772,0.972169
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,500,32111,0.933432,417050,0.991022,3391,5908,5.822783,0,0,0,4.215927,26.613214,0.183987,0.183987,31812,1.081384,0,0,0,22.107633,79.489769,0.986422,0.982231
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,600,32111,0.933432,417050,0.991022,3391,6491,5.299800,0,0,0,4.010341,26.407628,0.202143,0.202143,31812,1.081384,0,0,0,23.012560,80.394696,0.986422,0.982231
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,700,32111,0.933432,417050,0.991022,3391,7055,4.876116,0,0,0,3.986801,26.384088,0.219707,0.219707,31813,1.081350,0,0,0,24.866745,82.248881,0.986422,0.982201
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,800,32111,0.933432,417050,0.991022,3391,7558,4.551601,0,0,0,3.960025,26.357312,0.235340,0.235333,31816,1.081248,0,0,0,24.121583,81.503719,0.986516,0.982294
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,900,32111,0.933432,417050,0.991022,3391,7999,4.300663,0,0,0,3.944241,26.341528,0.249074,0.249066,31817,1.081214,0,0,0,24.406225,81.788361,0.986516,0.982264
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1000,32111,0.933432,417050,0.991022,3391,8473,4.060073,0,0,0,4.070226,26.467513,0.263835,0.263827,31821,1.081079,0,0,0,24.675704,82.057840,0.986640,0.982388
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1100,32111,0.933432,417050,0.991022,3391,8906,3.862677,0,0,0,3.923202,26.320489,0.277319,0.277311,31823,1.081011,0,0,0,26.257709,83.639845,0.986671,0.982388
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1200,32111,0.933432,417050,0.991022,3391,9323,3.689907,0,0,0,4.137012,26.534299,0.290306,0.290296,31823,1.081011,0,0,0,25.597095,82.979231,0.986671,0.982388
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1300,32111,0.933432,417050,0.991022,3391,9688,3.550888,0,0,0,4.088429,26.485716,0.301672,0.301663,31824,1.080977,0,0,0,26.297832,83.679968,0.986702,0.982419
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1400,32111,0.933432,417050,0.991022,3391,10029,3.430153,0,0,0,4.248602,26.645889,0.312292,0.312282,31826,1.080909,0,0,0,26.471304,83.853440,0.986765,0.982481
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1500,32111,0.933432,417050,0.991022,3391,10383,3.313204,0,0,0,4.133669,26.530956,0.323316,0.323306,31827,1.080875,0,0,0,26.464554,83.846690,0.986796,0.982512
